,job-name,schedule,employment,education,experience,location,salary_max,salary_min
0,Уборщик производственных и служебных помещений (82323),Неполный рабочий день,Частичная занятость,Не указано,0,Смоленская область,0,23102
1,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Волгоградская область,30000,30000
2,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Мордовия республика,30000,30000
0,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Белгородская область,30000,30000
1,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Пермский край,30000,30000
2,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Хабаровский край,30000,30000
0,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Челябинская область,30000,30000
1,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Тульская область,30000,30000
2,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Саха /Якутия/ республика,30000,30000
0,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Нижегородская область,30000,30000
1,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Псковская область,30000,30000
2,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Московская область,30000,30000
0,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Кемеровская область - Кузбасс область,30000,30000
1,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Тюменская область,30000,30000
2,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Брянская область,30000,30000
0,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Краснодарский край,30000,30000
1,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Иркутская область,30000,30000
2,Менеджер (удаленная работа),Гибкий график,Удаленная,Среднее,0,Башкортостан республика,30000,30000
0,Территориальный менеджер объекта,Полный рабочий день,Полная занятость,Не указано,1,г Москва,150000,90000
1,Кладовщик-грузчик,Сменный график,Полная занятость,Не указано,1,г Москва,60000,60000
2,Шиномонтажник,Полный рабочий день,Полная занятость,Не указано,0,Ростовская область,80000,50000
0,Техник ОПС,Полный рабочий день,Полная занятость,Не указано,3,г Москва,150000,100000
1,Администратор службы приёма и размещения,Сменный график,Полная занятость,Не указано,0,Карелия республика,57000,35000
2,Электроэрозионист 2 разряда (80905),Полный рабочий день,Полная занятость,Не указано,0,Смоленская область,0,35620
0,Врач кабинета неотложной помощи в поликлинике,Полный рабочий день,Полная занятость,Не указано,0,Ленинградская область,65000,65000
1,Педагог дошкольного образования,Сменный график,Полная занятость,Среднее профессиональное,0,Ульяновская область,34000,27000
